,PostOfficeName,Pincode,DistrictsName,City,State
30129,Nathdwara,313301.0,Rajsamand,Nathdwara,Rajasthan
30130,Nathdwara Chopati,313301.0,Rajsamand,Rajsamand,Rajasthan
30131,Nathusar,332731.0,Sikar,Sikar,Rajasthan
30132,Nawab Ka Bera,305001.0,Ajmer,Ajmer,Rajasthan
30133,Nawalgarh,333042.0,JhunJhunu,Nawalgarh,Rajasthan
30134,Nawalgarh Bazar,333042.0,JhunJhunu,Nawalgarh,Rajasthan
30135,Naya Bas Sujangarh,331507.0,Churu,Churu,Rajasthan
30136,Naya Bazar Ajmer,305001.0,Ajmer,Ajmer,Rajasthan
30137,Naya Parasrampura,333309.0,JhunJhunu,JhunJhunu,Rajasthan
30138,Naya Sarafa Bazar,313001.0,Udaipur,Udaipur,Rajasthan
30139,Nayagaon Khalsa,321419.0,Bharatpur,Bharatpur,Rajasthan
30140,Nayama Bazar,332311.0,Sikar,Sikar,Rajasthan
30141,Nayapura,324001.0,Kota,Kota,Rajasthan
30142,Nechwa,332026.0,Sikar,Sikar,Rajasthan
30143,Neemran,301705.0,Alwar,Alwar,Rajasthan
30144,Nehru Park Khandela,332709.0,Sikar,Sikar,Rajasthan
30145,New Bus Stand Dholpur,328001.0,Dholpur,Dholpur,Rajasthan
30146,New Central Revenue Bldg,302005.0,Jaipur,Jaipur,Rajasthan
30147,New Colony Bundi,323001.0,Bundi,Bundi,Rajasthan
30148,New Grain Mandi,324006.0,Kota,Kota,Rajasthan
30149,New Mandi Bharatpur,321001.0,Bharatpur,Bharatpur,Rajasthan
30150,New Railway Colony,324002.0,Kota,Kota,Rajasthan
30151,Newai,304021.0,Tonk,Tonk,Rajasthan
30152,Newai R S,304020.0,Tonk,Tonk,Rajasthan
30153,Nikumbh,312603.0,Chittorgarh,Chittorgarh,Rajasthan
30154,Nim Ka Thana,332713.0,Sikar,Sikar,Rajasthan
30155,Nim Ka Thana Bazar,332713.0,Sikar,Sikar,Rajasthan
30156,Nim Ka Thana Town,332713.0,Sikar,Sikar,Rajasthan
30157,Nimaj,306303.0,Pali,Pali,Rajasthan
